eventName,organizerType,attendees,opportunities,attendance,start,end,website,sponsorshipSite,sponsorDownload,linkedIn,attendeeList,venue,city,stateOrProvince,country,lowPriceNonMembers,highPriceNonMembers,earlyBirdDeadline,sponsorshipContactEmail,sponsorshipContactName,filesAndMedia,latestSponsorList,sponsorsAndExhibitors,peekURL,notes
American Association of Law Schools Annual Meeting,Trade Group,In-House,"Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,01/03/2024,01/06/2024,https://am.aals.org/,https://am.aals.org/past/am23/sponsor/,,https://www.linkedin.com/company/theaals/,,Marriott Marquis Washington DC,Washington,DC,USA,,,,mkerwin@aals.org,Mary Dillon Kerwin,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=53eb5143ee33440ab9a89473d1b3495e&pm=s,
New York State Bar Association Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Attend (non-member), Sponsor, Exhibit",>5000 people,01/16/2024,01/20/2024,https://nysba.org/annual-meeting-2024/,,,https://www.linkedin.com/company/new-york-state-bar-association/,,TBA,New York City,NY,USA,,,,,,,,,/9557bd0df39646cfa74bd90e70eb8e6c?pvs=25,
ContractsCon,Promoter,"In-House, Law firms","Attend (non-member), Sponsor",500-1000 people,01/17/2024,01/19/2024,https://www.contractscon.com/,https://www.contractscon.com/,,https://www.linkedin.com/company/howtocontractllc/,,University of Nevada,Las Vegas,NV,USA,"$2,495.00","$2,995.00",09/15/2023,support@howtocontract.com,,,,,,
South Carolina State Bar Convention,Bar Assn,"In-House, Law firms, Operators",Sponsor,1000-5000 people,01/18/2024,01/21/2024,https://www.scbarconvention.org/,https://cle.scbar.org/Seminars/Sponsor-Vendor-Opportunities,,https://www.linkedin.com/company/scbar/,,"Charleston Place Hotel, Charleston SC",Charleston,SC,USA,,,,marley.douglas@scbar.org,Marley Douglas,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=06178ab424304ddfac49cd87f6d6f1a7&pm=s&pvs=31,
Trial Lawyers Summit,Practice Assn,Law firms,"Attend (non-member), Sponsor, Exhibit",1000-5000 people,01/18/2024,01/21/2024,https://www.ntlevents.com/event/0b0e6f14-907d-423f-90b6-94ac7eedf91a/summary,https://www.ntlevents.com/event/0b0e6f14-907d-423f-90b6-94ac7eedf91a/websitePage:df0fcb4b-9101-4639-a91b-e373cb06d389,,https://www.linkedin.com/company/the-national-trial-lawyers/,,Loew’s Miami Beach Hotel,Miami Beach,FL,USA,"$2,095.00",,,,,,,"Sponsors: LawRank Preferred Capital Funding The Sentinel Group / Open Jar Concepts Alert Communications Broughton Partners Clio CompulseLegal Consumer Attorney Marketing Group Filevine Hennessey Digital HMR Law Tigers Morgan & Morgan PILMMA TSEG 1792 Capital Assembly Software CARDINAL LifeCare Consulting Cartiga Case Status ChartSquad Cloudlex Crisp Digital Law Marketing Focus Graphics Go Answer Lawmatics MileMark Media Prevail Top Class Actions Walker Advertising X Social Media 4 Corners Deposition Summaries Advocate Capital, Inc. American Association for Justice American Law Firm Capital Arctrieval, Inc. Artery Studios Arthur Funding Balanced Bridge Funding BluShark Digital Bridge Legal Carvertise CASEpeer Clarra CMDS Consumer Attorney Record Services Doctor OnCALL/MDTimelines (MedMal Consulting) Evenup Inc Forensic Human Factors Fox-Animated Engineering Jim Dickens Printing LevelEsq Levin Papantonio Rafferty LEX Reception Mass Torts Made Perfect Mass Torts Vendor Association Nanato Media Neon Ambition Oasis Financial PeopleHunter.com Physician Life Care Planning Premier Legal Marketing Ringboost.com The Cochran Firm Thrivest Legal Funding TransUnion LLC Let me know if you need any further assistance!",,
Association of Corporate Patent Counsel Winter Meeting,Practice Assn,"Law firms, In-House",Sponsor,500-1000 people,01/21/2024,01/24/2024,https://acpcnet.org/events/acpc-winter-meeting,https://acpcnet.org/sponsorship/semi-annual-meetings-sponsorship,,https://www.linkedin.com/company/association-of-corporate-patent-counsel-inc/about/,,"Four Seasons Hotel, New Orleans LA",New Orleans,LA,USA,,,,info@acpcnet.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=d34dbffea97649e0b2b71bf6b29b85f3&pm=s,
The Law Conference for Hotel Owners & Operators,"Promoter, Trade Group","In-House, Law firms","Attend (non-member), Sponsor",100-500 people,01/21/2024,01/22/2024,https://www.burba.com/ALISLaw,https://www.burba.com/alislaw/sponsor,,https://www.linkedin.com/company/burba-hotel-network/,-,Courtyard/Residence Inn Los Angeles,Los Angeles,CA,USA,"$1,015.00","$3,300.00",10/12/2023,jzink@burba.com,,,https://www.burba.com/ALISLaw/Sponsor,Clark Hill Crowell FTI Consulting Marriott International Michelman & Robinson Perkins Coie Hotel Investment Today DEI Advisors Hospitality Asset Managers Association International Society of Hospitality Consultants Latino Hotel Association Nabhood She Has a Deal. Thrive,-,-
Tax Institute | USC Gould Institute of Law,Promoter,"Law firms, In-House","Attend (non-member), Sponsor",500-1000 people,01/22/2024,01/24/2024,https://gould.usc.edu/why/academics/cle/tax/,https://gould.usc.edu/why/academics/cle/tax/,,https://www.linkedin.com/showcase/uscgouldcle/,,TBD,Los Angeles,CA,USA,,,,wwiley@law.usc.edu,Wendy Wiley Willett,,,,,
Legalweek,Promoter,"In-House, Law firms, Operators","Attend (non-member), Expo pass, Sponsor, Exhibit",>5000 people,01/29/2024,02/01/2024,https://www.event.law.com/legalweek,https://www.event.law.com/legalweek/sponsors,,https://www.linkedin.com/showcase/legalweek-new-york/,,New York Hilton Midtown,New York,NY,USA,$125.00,"$1,195.00",,dchalphin@alm.com,Don Chalphin,,https://www.event.law.com/legalweek/sponsors,Reveal AALL ARMA CIO Review ILTA,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=ae2998659c75477ba151ea3d346314ef&pm=s,
California Lawyers Association Annual Privacy Summit,"Bar Assn, Practice Assn","Law firms, In-House","Attend (member), Attend (non-member), Sponsor, Exhibit",100-500 people,02/08/2024,02/09/2024,https://calawyers.org/event/annual-privacy-summit/,,,https://www.linkedin.com/groups/5077326/,,"UCLA Meyer and Renee Luskin Conference Center, Los Angeles, CA",Los Angeles,CA,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=3fd99816bd7b449f81b4802a8825be53&pm=s,
ABA Techshow,Bar Assn,"In-House, Law firms, Operators","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,02/14/2024,02/17/2024,https://www.techshow.com/,http://go.networkmediapartners.com/abatechshow,,https://www.linkedin.com/groups/1738267/,,Chicago IL,Chicago,IL,USA,,,,chris.martin@wearemci.com,Chris Martin,,https://www.techshow.com/,"Clio Filevine LawPay MyCase ActionStep Inc. Assembly Software NetDocuments Practice Panther Relativity Sage Smokeball Thryv Zola Suite Amazon Business InfoTrack USA LLC Law Quill SimpleLaw Smith.ai Virtual Receptionists 4LegalLeads ABA Insurance - USI Affinity Bundledocs iDox.ai Lawline LEAP LexReception Nota | Powered by M&T Bank QuickFee Spellbook Spotlight Branding WealthCounsel, LLC",https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=36cebd01aa964d3ebe9fe2e19d3664f9&pm=s,
International Air Transport Association (IATA) World Legal Symposium,Trade Group,"In-House, Law firms",Sponsor,100-500 people,02/21/2024,02/23/2024,https://www.iata.org/en/events/all/legal-symposium/,https://www.iata.org/en/events/all/legal-symposium/#tab-5,,https://www.linkedin.com/company/international-air-transport-association-iata/,-,The Westin Bayshore Hotel,Vancouver,BC,Canada,,,,huz@external.iata.org,Zhonghua Hu,,,,,
Annual Energy Law Conference,Practice Assn,"In-House, Law firms","Attend (non-member), Sponsor, Exhibit",500-1000 people,02/22/2024,02/23/2024,https://www.cailaw.org/institute-for-energy-law/events/2024/annual-energy-law-conference.html,https://www.cailaw.org/institute-for-energy-law/sponsorship-opportunities.html,,https://www.linkedin.com/company/institute-for-energy-law/,,Westin Houston,Houston,TX,USA,,,,lhogarth@cailaw.org,Lilly Hogarth,,,McGuire Woods Norton Rose Fulbright,,
National Association of Legal Search Consultants Annual Conference,Trade Group,Operators,"Attend (member), Attend (non-member), Sponsor",100-500 people,02/29/2024,03/02/2024,https://www.nalsc.org/events/,,,https://www.linkedin.com/company/nalsc/,,"The Pendry Hotel, San Diego",San Diego,CA,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=40979beafba64d96af5455258c905f4c&pm=s,
California Lawyers Association Real Property Law Retreat,"Bar Assn, Practice Assn","Law firms, In-House","Attend (member), Attend (non-member), Sponsor, Exhibit",100-500 people,03/08/2024,03/10/2024,https://calawyers.org/event/2024-real-property-law-retreat-9th-annual-women-in-commercial-leasing-law-symposium/,,,https://www.linkedin.com/company/calawyersorg/,,"Omni Rancho Las Palmas, Rancho Mirage, CA",Ranch Mirage,CA,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=561d4234e3464b169038d5f9f240923b&pm=s,
Legal Technology Digital Transformation Summit,Promoter,"In-House, Law firms, Operators","Attend (non-member), Sponsor, Exhibit",100-500 people,03/11/2024,03/13/2024,https://www.eventcreate.com/e/legal-technology-digital-transformation-summit,https://www.eventcreate.com/e/legal-technology-digital-transformation-summit,,,,"Bovey Castle, Devon",North Bovey,Devon,UK,$0.00,,,Tickets@jwhpublishing.com,Jeremy Hill,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=2de2261b8ee24a818cde0f36978b6a65&pm=s,Free event
Intellectual Property Institute | USC Gould Institute of Law,Promoter,"Law firms, In-House","Attend (non-member), Sponsor",500-1000 people,03/18/2024,03/19/2024,https://gould.usc.edu/why/academics/cle/ip/,https://gould.usc.edu/why/academics/cle/ip/,,https://www.linkedin.com/showcase/uscgouldcle/,,Fairmont Miramar Hotel,Santa Monica,CA,USA,$599.00,,,wwiley@law.usc.edu,Wendy Wiley Willett,,,,,
Academy of Criminal Justice Sciences Annual Meeting,"Promoter, Practice Assn",Law firms,"Attend (member), Sponsor, Exhibit",1000-5000 people,03/19/2024,03/23/2024,https://www.acjs.org/events/EventDetails.aspx?id=1761233,https://s5.goeshow.com/acjs/annual/2024/sponsorship_opportunities.cfm,,https://www.linkedin.com/company/academy-of-criminal-justice-sciences-acjs/,,Hilton Chicago,Chicago,IL,USA,,,,manager@acjs.org,Letiscia Perrin,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=b2c2b000d3244e9ca8ab72b92745148c&pm=s,
General Counsel Institute | National Association of College and University Attorneys,Practice Assn,In-House,"Attend (member), Sponsor",100-500 people,03/20/2024,03/22/2024,https://nacua.quickbase.com/db/bnwk7pp6u?a=nwr&_fid_6=GCI23&ifv=1,https://www.nacua.org/program-events/sponsorship,https://www.nacua.org/docs/default-source/meetings/2023-2024-nacua-sponsorship---workshops-year-round-opportunities.pdf?sfvrsn=7fd44fbe_2,https://www.linkedin.com/company/nacua/,,Westin Denver Downtown,Denver,CO,USA,,,,ahs@nacua.org,Ashley Hodak Sullivan,,https://events.nacua.org/event/9e5e7e1a-df10-4d8a-8f1b-bbee7c89735f/websitePage:fa481f70-58d7-4239-9977-b88330a9ba6b,,/0e02440344a64d6aaabd492ae53fdea5?pvs=25,
American Society of International Law Annual Meeting,Practice Assn,"Law firms, Government","Attend (non-member), Sponsor",1000-5000 people,04/03/2024,04/06/2024,https://www.asil.org/annualmeeting,,,https://www.linkedin.com/company/american-society-of-international-law/,,Washington Hilton,Washington,DC,USA,,,,,,,,,,
Legal Marketing Association Annual Conference,Trade Group,"Law firms, Marketers, Operators","Attend (member), Attend (non-member), Expo pass, Sponsor, Exhibit",1000-5000 people,04/03/2024,04/05/2024,https://lma23.legalmarketing.org/,https://lma24.legalmarketing.org/Exhibit-Sponsor/Want-to-Exhibit-Sponsor,https://files.smithbucklin.com/ss-files/LMA_AC2024_prospectus.pdf,https://www.linkedin.com/company/legal-marketing-association/,,San Diego Marriott Marquis Marina,San Diego,CA,USA,"$2,093.00",,,sponsorships@legalmarketing.org,,,https://lma24.legalmarketing.org/Exhibit-Sponsor/Already-Exhibiting,2023 SPONSORS Intapp LexiNexis One North Passle IHG Hotel & Resorts ALM Law Altud Friedman Williams Litera ikaun Lexology Pinnacle QorusDocs Right Hat Vibe Adtaxi Axelle Calibrate Chambers and Partners Client Sense Filevine F2 Marketing Great Jakes Growth Play Legal 360 by HSO Kates Media Law Firm Editorial Service Leopard Solutions Mondaq Marigold On24 Peppermint Technology Practising Law Institute Society 54 S&P Global Market Intelligence Sure Point,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=4db97835ac1246cf88bb5cc143462de6&pm=s,
National Creditors Bar Association Executive Experience,Practice Assn,Law firms,"Attend (member), Sponsor, Exhibit",500-1000 people,04/09/2024,04/12/2024,https://www.creditorsbar.org/events/2024-executive-experience-save-date,https://www.creditorsbar.org/partner-with-us,https://www.creditorsbar.org/file/secure/2024-ncba-executive-experience-sponsorguide.pdf,https://www.linkedin.com/company/nationalcreditorsbarassociation/,,Omni PGA Frisco Resort TX,Frisco,TX,USA,,,,conferences@creditorsbar.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=70124069bb694d3a976a2c7859130b2c&pm=s,
ABA Section of Dispute Resolution Spring Conference,"Bar Assn, Practice Assn",Law firms,"Attend (member), Sponsor",500-1000 people,04/10/2024,04/13/2024,https://www.americanbar.org/groups/dispute_resolution/events_cle/annual/,,,https://www.linkedin.com/company/aba-section-of-dispute-resolution/,,TBA,TBA,,,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=29278b2b3589486487b86c5ab9f2c30a&pm=s,
The Annual BC Labour Law Review,Practice Assn,"Law firms, In-House",,500-1000 people,04/10/2024,04/11/2024,https://www.labourlawonline.ca/,,,-,-,"Pinnacle Hotel, Vancouver",Vancouver,BC,Canada,,,,info@labourlawonline.ca,,,,,,
ABA-IP Law Section Annual Meeting,"Bar Assn, Practice Assn","Law firms, In-House","Attend (member), Sponsor, Exhibit",1000-5000 people,04/17/2024,04/19/2024,https://abamedia-events.com/abaipl-spring-conference,https://abamedia-events.com/abaipl-spring-conference,,https://www.linkedin.com/company/aba-section-of-intellectual-property-law/,,"Bethesda North Marriott, Bethesda MD",Bethesda,MD,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=9a3e5d1ff97640578f8dc30b26602ff7&pm=s,
National Association of Attorneys General Symposium,Practice Assn,"In-House, Law firms",Attend (non-member),500-1000 people,04/22/2024,04/24/2024,https://www.naag.org/events-training/attorney-general-symposium/,,,https://www.linkedin.com/company/national-association-of-attorneys-general/,,"Chicago, IL",Chicago,IL,USA,,,,EKutterna@naag.org,Erika Kutterna,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=35ca4bfbeea54f58b68573546d6cd73e&pm=s,
Future Lawyer Week UK,Promoter,"In-House, Law firms, Operators","Attend (non-member), Sponsor, Exhibit",500-1000 people,04/24/2024,04/26/2024,https://www.futurelawyerweek-uk.com/,https://www.futurelawyerweek-uk.com/sponsors,,https://www.linkedin.com/showcase/future-lawyer-week-uk/?originalSubdomain=uk,,"etc.venues St Paul's, 200 Aldersgate St, Barbican",London,,England,,$450.00,,explore@cosmonauts.biz,,,https://www.futurelawyerweek-uk.com/sponsors,DISCO Exterro Onit Everlaw Consilio Relativity Opus2 ayfie Walters Kluwer Della Document Drafter CRMCS Majoto Secretariat Betty Blocks Henchman Definely APT LawVu Juro Pocketlaw Jameson Legal Tech Bryter Scribestar Law.com Conventus Law Play It Green,,
National Association of Consumer Bankruptcy Attorneys Annual Convention,Practice Assn,Law firms,"Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,04/25/2024,04/28/2024,https://nacba.org/events/EventDetails.aspx?id=1535310&group=,,,,,"The Broadmoor, Colorado Springs CO",Colorado Springs,CO,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=bc9135b3bb954cd7ae6cba2d6856fc37&pm=s,
DealMax,Trade Group,"Law firms, In-House","Attend (non-member), Sponsor, Exhibit",1000-5000 people,04/29/2024,05/01/2024,https://dealmax.org/,https://dealmax.org/about-us/contact-us/,,https://www.linkedin.com/company/association-for-corporate-growth/,https://dealmax.org/2023-highlights/who-attended/,Aria Resort Las Vegas NV,Las Vegas,NV,USA,,,,kgregorio@acg.org,Kaitlyn Gregorio,,https://dealmax.org/sponsors/,"AssuredPartners Citizens Bank Fitch Ratings Grant Thornton Marcum PNC Raymond James RKON Shearman & Sterling TaxVantage Consulting The Crucible Tier1 Performance Union Bank Winston & Strawn, LLP Woodbridge International",https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=d24ea2752f9f47af951849fc911e637c&pm=s,
ABA Section of Family Law Spring CLE Conference,Bar Assn,Law firms,"Attend (member), Attend (non-member), Sponsor",1000-5000 people,05/01/2024,05/04/2024,https://www.americanbar.org/groups/family_law/events_cle/upcoming-conferences/,https://abamedia-events.com/aba-family-event-sponsorship,,https://www.linkedin.com/showcase/aba-family-law/?trk=affiliated-pages,,Westin Copley Place,Boston,MA,USA,$975.00,,08/03/2023,danielle.pruger@americanbar.org,Danielle Pruger,,,,,
"Law of Policing Conference, Eastern Edition",Practice Assn,"Government, Law firms","Attend (member), Attend (non-member), Sponsor",100-500 people,05/01/2024,05/02/2024,https://www.canadianinstitute.com/law-of-policing-east/,https://www.canadianinstitute.com/law-of-policing-east/sponsors/,,https://www.linkedin.com/company/the-canadian-institute/,,,Mississauga,ON,Canada,"$1,595.00","$1,795.00",01/26/2024,marketinginquiry@canadianinstitute.com,,,,,,
National Academy of Elder Law Attorneys,Practice Assn,Law firms,"Attend (member), Sponsor, Exhibit",1000-5000 people,05/02/2024,05/04/2024,https://www.naela.org/Web/Web/Events-and-Education/Events_Education-Template.aspx?hkey=585cd0e4-f962-42d9-9e02-b923814addd9,https://www.naela.org/Web/Web/Events-and-Education/Exhibitor_Information.aspx?hkey=f861e8b9-bfbb-43f5-91bb-fc8d34914b15,,https://www.linkedin.com/company/national-academy-of-elder-law-attorneys/,,TBD,Boston,MA,USA,,,,dlarkin@naela.org,Dannie Larkin,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=6330270e7415457ea18e437bb092d901&pm=s,
CLOC Global Institute,Trade Group,"In-House, Operators","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,05/06/2024,05/09/2024,https://events.cloc.org/event/1d32983d-33ab-47ff-a8ae-9994043fcd1f/summary,,,https://www.linkedin.com/company/cloc-corporate-legal-operations-consortium-/,,"Aria, Las Vegas",Las Vegas,NV,USA,,,,sponsorship@cloc.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=0a3ca52d7e534f2f934a6d9410ff35a2&pm=s,
Ohio State Bar Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",500-1000 people,05/07/2024,05/07/2024,https://www.ohiobar.org/meetings--events/OSBA-Annual-Meeting/,https://www.ohiobar.org/cle-certification/Sponsorship-Exhibitor-Opp/,,https://www.linkedin.com/company/ohio-state-bar-association/,,Ohio,,OH,USA,,,,advertising@ohiobar.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=85124d90f3a8493186fcb9a0b48c9f2c&pm=s,
Pennsylvania Bar Association Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",>5000 people,05/08/2024,05/10/2024,https://www.pabar.org/site/Events-and-Education/Event-Info/sessionaltcd/AM24,,,https://www.linkedin.com/company/pennsylvania-bar-association/?trk=NUS-body-company-name,,"Hershey Lodge, Hershey PA",Hershey,PA,USA,,,,Holly.Wertz@pabar.org,Holly Wertz,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=b8a49cf8f743405aae99d9b67b37f15c&pm=s,
World Technology Law Conference,Practice Assn,"In-House, Law firms, Operators","Attend (non-member), Sponsor",,05/08/2024,05/10/2024,https://www.itechlaw.org/conferences/2024-world-technology-law-conference-0,,,https://www.linkedin.com/company/itechlaw-association/,,,Washington,DC,USA,,,,,,,,,,
Personal Injury Lawyer Marketing & Management Association (PILMMA) Super Summit,Promoter,Law firms,"Attend (non-member), Sponsor",1000-5000 people,05/14/2024,05/17/2024,https://www.pilmma.org/summit/,,https://www.pilmma.org/wp-content/uploads/2023/05/2024-Summit-Sponsor-Registration.pdf,https://www.linkedin.com/company/pilmma/,,TBD,New Orleans,LA,USA,,,,INFO@PILMMA.ORG,,,,,,
American Intellectual Property Law Association Spring Meeting,Practice Assn,"In-House, Law firms","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,05/16/2024,05/18/2024,https://www.aipla.org/detail/event/2024/05/16/default-calendar/aipla-2024-spring-meeting,,https://www.aipla.org/docs/default-source/uploadedfiles/aipla2023-media-marketing-kit.pdf?sfvrsn=6103cf6c_2,https://www.linkedin.com/company/aipla/,https://www.aipla.org/home/meetings-education/2023-spring-meeting/expand/attendee-list,Hilton Austin,Austin,TX,USA,,,,aipla@aipla.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=b2973b5295064178830a8668db60d1b9&pm=s,
International Trademark Association Annual Meeting,Practice Assn,"Law firms, In-House","Attend (member), Attend (non-member), Sponsor, Exhibit",>5000 people,05/18/2024,05/22/2024,https://www.inta.org/events/2024-annual-meeting/,https://www.inta.org/inta-events/become-a-sponsor/,,https://www.linkedin.com/company/gointa/,,Georgia World Congress Center,Atlanta,GA,USA,,,,sponsorsandexhibitors@inta.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=fa19937a6d914b4e8ad2bd78bb036186&pm=s,
Association of Legal Administrators Annual Conference,Trade Group,"Law firms, Operators","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,05/19/2024,05/22/2024,https://www.alanet.org/events/2024-events/annual-conference/home,https://www.alanet.org/events/2024-events/annual-conference/home,,https://www.linkedin.com/company/association-of-legal-administrators/,,Gaylord Rockies Resort & Convention Center,Aurora,CO,USA,,,,info@alaannualconf.org,Kristy Perkins,,https://www.alanet.org/events/2024-events/annual-conference/home,2023 Sponsors: Centerbase First Legal Fulcrum GT Net Documents Sure Point Vital Records Control Law Pay ABA Retirement Funds Affinity Consulting Aflac Allied World GLF Benefit Consultants GLJ Financial Isolved LTC Solutions National Purchasing Partners Principal Teladoc Vibe Media Action Step All Covered Big Hand Caret Legal Clio Filevine iManage Orion 35 45 Consulting Adams & Martin Group Epiq Epona Esi-legal Everlaw Fringe Professional Development Frontline Gavel Get Staffed Up Gilsbar Pro IHG Hotels & Resorts InfoTrack Kraft Kennedy Lawmatics Lawyers Travel Litera MilliCare Nationwide Legal NQ Zebra Works Perfect Law All-in-One Software Singlecomm Smokeball Tabs3 Thomson Reuters XpressDox,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=e1cab7fca0974ec4a4386964647697bc&pm=s,
Indiana State Bar Solo and Small Firm Conference,Bar Assn,"Law firms, Operators","Attend (member), Sponsor, Exhibit",100-500 people,05/30/2024,06/01/2024,https://www.inbar.org/event/SSFC24,https://www.inbar.org/event/SSFC24,,https://www.linkedin.com/company/indiana-state-bar-association/,,"French Lick Resort, Indiana",French Lick,IN,USA,,,,ahiggins@inbar.org,Ashley Higgins,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=37186a0d03e34cb8a0eaf7ff36abaeaa&pm=s,
Association of Family and Conciliation Courts Annual Conference,Practice Assn,"Government, Law firms","Attend (member), Attend (non-member), Exhibit",1000-5000 people,06/05/2024,06/08/2024,https://www.afccnet.org/Conferences-Training/AFCC-Conferences/ctl/View/ConferenceID/413/mid/3646,https://www.afccnet.org/Conferences-Training/Sponsorship,,https://www.linkedin.com/company/afcc-association-of-family-and-conciliation-courts/,,Sheraton Boston,Boston,MA,USA,,,,arebholz@afccnet.org,Abby Rebholz,,,,,
Maryland State Bar Association Legal Summit & Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",1000-5000 people,06/05/2024,06/07/2024,https://www.msba.org/product/2024-msba-legal-summit/,https://www.msba.org/advertise-and-sponsor/,,https://www.linkedin.com/company/the-maryland-state-bar-association-inc./,,TBD,,,,,,,ntate@associationmediagroup.com,Nicola Tate,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=4ec1019730524e2293f96e41c691d304&pm=s,
Georgia Bar Association Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",1000-5000 people,06/06/2024,06/09/2024,https://www.gabar.org/committeesprogramssections/boardofgovernors/meetings.cfm,,,,,"Omni Amelia Island, Georgia",Amelia Island,FL,USA,,,,gakiik@gabar.org,Gakii Kassamba,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=340b5bd33afe44b2ab0b8b3ec7e35d78&pm=s,
American Immigration Lawyers Association Annual Conference,Practice Assn,Law firms,"Attend (member), Sponsor, Exhibit",>5000 people,06/12/2024,06/15/2024,https://www.aila.org/conferences/in-person/annual/past-conferences,https://www.aila.org/about/promos,https://www.aila.org/File/DownloadEmbeddedFile/100,https://www.linkedin.com/company/american-immigration-lawyers-association/,,Chicago IL,Chicago,IL,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=839b796f74064a79ad427a86da06eadc&pm=s,
Lanier Trial Academy,Promoter,Law firms,"Attend (non-member), Sponsor, Exhibit",100-500 people,06/17/2024,06/20/2024,https://lanier.thenationaltriallawyers.org/,,,https://www.linkedin.com/company/the-lanier-law-firm-pllc/,,Marriott Marquis,Houston,TX,USA,,,,,,,,Archer ChartSquad Consumer Attorney Marketing Group,,
